gene_id	C1	C2	H1	H2
TcCLB.509569.150	549	794	554	567
TcCLB.509569.160	2129	3076	2187	2223
TcCLB.509569.170	1708	2342	1909	1858
TcCLB.509569.180	1052	1659	1439	1488
TcCLB.504093.4	379	601	555	515
TcCLB.504093.10	1978	2567	1885	1711
TcCLB.466593.19	1313	1840	1494	1623
TcCLB.466593.10	558	782	564	575
TcCLB.509571.4	1545	2359	1862	1924
TcCLB.509571.10	675	876	623	601
TcCLB.509571.30	2171	3205	2314	2263
TcCLB.509571.40	2360	3263	2453	2504
TcCLB.509571.50	3662	4967	3368	3338
TcCLB.509571.60	1506	1926	1224	1129
TcCLB.509571.70	1277	1821	1228	1310
TcCLB.509571.79	1809	2574	1633	1668
TcCLB.509573.10	1491	2059	1406	1463
TcCLB.509573.20	287	359	292	310
TcCLB.509573.30	3949	5406	4116	4264
TcCLB.509573.40	354	421	340	310
TcCLB.509573.50	2131	2830	2184	1900
TcCLB.509573.60	790	1050	951	920
TcCLB.473755.9	2108	2856	2305	2322
TcCLB.506153.3	4551	5782	4127	3996
TcCLB.506153.6	1069	1369	849	846
TcCLB.506153.10	26	41	40	33
TcCLB.506153.20	5	11	8	9
TcCLB.506053.5	17	22	16	15
TcCLB.506053.10	0	0	0	1
TcCLB.506053.20	624	846	480	449
TcCLB.506053.35	2	1	1	1
TcCLB.506053.50	3	3	6	3
TcCLB.506053.60	0	0	0	1
TcCLB.504183.10	1	1	0	0
TcCLB.504183.20	0	2	0	2
TcCLB.503861.110	0	1	0	2
TcCLB.503861.100	1	1	0	0
TcCLB.503861.80	2	2	2	3
TcCLB.503861.50	2	1	0	2
TcCLB.503861.40	7	9	15	11
TcCLB.503861.30	0	1	0	0
TcCLB.503861.10	189	235	155	157
TcCLB.507015.10	214	302	211	245
TcCLB.507015.30	13	25	28	24
TcCLB.507015.50	6	17	9	8
TcCLB.507015.59	2	4	8	3
TcCLB.511807.3	0	0	0	0
TcCLB.511807.6	1	1	0	0
TcCLB.511807.10	2	3	3	4
TcCLB.511807.22	12	10	10	5
TcCLB.511807.33	4	3	3	0
TcCLB.511807.36	849	1224	687	716
TcCLB.511807.40	912	1309	832	741
TcCLB.511807.50	2785	3786	2694	2610
TcCLB.511807.60	1914	2671	1634	1549
TcCLB.511807.64	1753	2399	1804	1659
TcCLB.511807.70	4058	5403	3928	4128
TcCLB.511807.80	3163	4332	2804	2716
TcCLB.511807.100	1	1	0	0
TcCLB.511807.110	1805	2719	2009	1883
TcCLB.511807.120	1	3	0	2
TcCLB.511807.125	0	2	2	2
TcCLB.511807.130	174	198	191	185
TcCLB.511807.140	2413	3495	2067	2186
TcCLB.511807.150	1291	1853	1495	1315
TcCLB.511807.160	831	1091	1194	1186
TcCLB.511807.180	5392	7869	5303	5111
TcCLB.511807.190	9756	14474	10216	11009
TcCLB.511807.200	7164	10681	6577	6486
TcCLB.511807.210	2443	3371	2325	2343
TcCLB.511807.220	11625	15284	6411	5734
TcCLB.511807.230	2893	4055	3024	2797
TcCLB.511807.250	2631	3698	2910	2953
TcCLB.511807.253	3514	4534	3373	3448
TcCLB.511807.256	972	1443	959	1011
TcCLB.511807.260	1874	2593	2040	1994
TcCLB.511807.270	2908	3826	2800	2703
TcCLB.511807.280	5796	7995	5387	5506
TcCLB.511807.284	3910	5260	3552	3350
TcCLB.511807.290	2262	3373	2453	2523
TcCLB.511809.10	2541	3602	3122	3109
TcCLB.511809.20	712	960	683	664
TcCLB.511809.30	2244	3087	1790	1726
TcCLB.511809.40	838	1118	822	809
TcCLB.511809.50	688	1058	880	798
TcCLB.511809.60	5714	8278	5600	5342
TcCLB.511809.70	2066	2984	2066	2132
TcCLB.511809.80	4069	5610	3675	3327
TcCLB.511809.90	292	416	526	531
TcCLB.511809.99	1	3	3	2
TcCLB.511809.110	31	40	28	22
TcCLB.511809.120	1430	1960	1331	1403
TcCLB.511809.130	9	17	15	21
TcCLB.511809.135	0	2	1	1
TcCLB.511809.140	0	0	0	0
TcCLB.511811.10	4	5	3	5
TcCLB.511811.20	86	95	48	62
TcCLB.511811.30	2	0	0	0
TcCLB.509207.11	0	0	0	0
TcCLB.509207.20	0	0	0	0
TcCLB.509207.30	903	1331	1024	970
TcCLB.509207.40	10409	15893	10882	10890
TcCLB.509207.50	3958	5601	3870	3959
TcCLB.509207.70	3273	4407	3233	2993
TcCLB.509207.80	3262	4775	4229	4404
TcCLB.509207.90	1661	2021	1679	1561
TcCLB.509207.100	2937	4014	2847	2907
TcCLB.509207.110	1072	1361	946	896
TcCLB.509207.120	3913	5405	3372	3549
TcCLB.509207.130	1931	2358	1708	1603
TcCLB.509207.140	2330	2975	2166	1986
TcCLB.509207.150	2513	3622	2133	2194
TcCLB.509207.160	3523	4845	3198	3161
TcCLB.509209.10	5082	7014	5522	5398
TcCLB.509209.20	697	978	707	634
TcCLB.511813.10	853	1106	924	911
TcCLB.511813.20	2412	3307	2528	2537
TcCLB.511813.30	1146	1641	1251	1309
TcCLB.511815.4	1704	2458	1813	1832
TcCLB.511815.10	2908	4177	3013	2915
TcCLB.511815.24	2153	2992	2317	2246
TcCLB.511815.40	5873	8320	5593	5850
TcCLB.511815.50	3564	5101	4145	3787
TcCLB.511815.60	2118	2891	2176	2220
TcCLB.511815.70	457	619	465	438
TcCLB.511815.80	743	986	713	729
TcCLB.511815.90	2756	3677	2544	2402
TcCLB.511815.100	5405	7349	5987	5874
TcCLB.511815.150	2283	3039	2510	2151
TcCLB.511815.160	2671	3507	3115	2751
TcCLB.511815.170	786	1116	727	793
TcCLB.511815.180	279	410	347	374
TcCLB.503567.9	10	5	26	19
TcCLB.511817.10	100	116	157	160
TcCLB.511817.20	897	1144	1019	975
TcCLB.511817.30	972	1213	920	931
TcCLB.511817.40	4544	5828	4153	4158
TcCLB.511817.50	2729	3573	2714	2615
TcCLB.511817.60	1130	1325	933	920
TcCLB.511817.70	843	1084	743	761
TcCLB.511817.80	1910	2498	1798	1731
TcCLB.511817.90	1502	1984	1323	1342
TcCLB.511817.100	2713	3541	2496	2424
TcCLB.511817.110	2054	2734	2603	2641
TcCLB.511817.120	3258	4154	2726	2656
TcCLB.511817.130	1650	2158	1585	1560
TcCLB.511817.134	984	1297	1332	1252
TcCLB.511817.140	0	1	0	0
TcCLB.511817.151	1	0	0	1
TcCLB.511817.161	0	0	0	0
TcCLB.511817.171	0	0	0	0
TcCLB.511817.180	32	50	24	33
TcCLB.511817.190	1689	2312	1882	1854
TcCLB.511817.200	2951	4051	2620	2298
TcCLB.511817.210	529	754	929	938
TcCLB.511817.220	3611	5074	3619	3524
TcCLB.511817.230	2905	4224	3011	2937
TcCLB.511817.240	2960	4033	3351	3210
TcCLB.511817.250	1948	2977	2021	2092
TcCLB.511817.260	4899	6538	4133	3883
TcCLB.511817.270	2725	3565	2272	2147
TcCLB.511817.280	2404	3284	2324	2090
TcCLB.511817.300	1508	2074	1452	1416
TcCLB.511817.310	4914	6999	5017	4798
TcCLB.511817.319	603	940	781	746
TcCLB.511819.10	1842	2706	2053	1919
TcCLB.511819.14	1998	2728	2738	2698
TcCLB.511819.20	2429	3574	2251	2229
TcCLB.511819.30	883	1098	842	888
TcCLB.511819.40	1461	1945	1189	1174
TcCLB.511819.50	5297	7370	5087	4956
TcCLB.511819.59	2415	3239	2303	2077
TcCLB.511821.10	3610	4837	3485	2907
TcCLB.511821.20	410	544	324	344
TcCLB.511821.30	2833	3822	2462	2423
TcCLB.511821.40	464	644	450	452
