,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
2955,EXOSC6,0.3970864777015067,0.6405160321631073,0.3970864777015067,0.19874887048910606,1,0,1,6,36,0,2,1,7,90,1,0,4,2,41,1,2,4,9,99
2956,EXOSC7,0.3153380408339476,0.4656828672761945,0.3153380408339476,0.12581460340183448,1,0,4,0,63,0,2,2,3,95,1,0,2,5,51,0,2,1,7,96
2957,EXOSC9,0.153741463065872,0.22564626893648923,0.153741463065872,0.03263571027786627,0,2,0,8,84,1,0,0,5,9,0,1,3,0,5,0,1,3,2,31
2958,EXPH5,0.435733854756212,0.7038371648323631,0.435733854756212,0.21331503391832762,1,1,1,6,4,0,1,1,1,7,1,2,4,1,42,1,2,4,9,48
2959,EXT1,0.08963202087977519,0.14628708249585382,0.08963202087977519,0.009316069770732072,0,2,2,1,43,1,0,3,2,77,0,1,1,6,2,0,1,3,5,65
2960,EXT2,0.10602160037233573,0.15377439439309964,0.10602160037233573,0.0077984982986692986,0,2,2,1,70,1,0,3,2,30,0,1,1,6,92,0,1,3,5,45
2961,EXTL2,0.14393353797237082,0.23491379310344832,0.14393353797237082,0.018074320647057274,0,2,0,8,87,1,0,0,5,67,0,1,3,0,83,0,1,3,5,44
2962,EXTL3,0.21734823059761763,0.32998823783779707,0.21734823059761763,0.04637827159515462,0,0,0,4,15,1,2,0,0,10,0,0,3,8,0,0,1,3,2,89
2963,EYA2,0.7751179527628916,1.2304307786759439,0.7751179527628916,0.4887414296565499,1,1,3,7,34,0,1,4,4,5,1,2,0,4,78,1,0,0,3,4
2964,EYA3,0.04196727192220899,0.06694163755821692,0.04196727192220899,0.0018111116597787635,0,2,2,5,6,1,0,3,8,86,0,1,1,3,55,0,1,3,5,43
2965,EYA4,0.1859178921798867,0.268711797635766,0.1859178921798867,0.0216164931173477,0,2,0,8,68,1,0,0,5,4,0,1,3,8,13,0,1,3,5,2
2966,EZH1,0.2637745530430365,0.40648385102505086,0.2637745530430365,0.08258825105603718,0,0,4,9,99,1,2,2,9,85,0,0,2,9,72,0,1,1,0,11
2967,EZH2,0.3302310063289024,0.5346284562911174,0.3302310063289024,0.1462463908052558,1,0,4,0,92,0,2,2,3,36,1,0,2,5,77,0,2,4,1,68
2968,EZR,0.11883483897133648,0.19405016596977506,0.11883483897133648,0.020424011289852273,0,2,2,1,0,1,0,3,2,49,0,1,1,6,14,0,1,3,5,2
2969,F11R,0.14220167754805504,0.21540426523198547,0.14220167754805504,0.0284699853799949,0,2,0,8,87,1,0,0,5,52,0,1,3,0,83,0,1,3,2,61
2970,F13A1,0.2122417427523885,0.330460850253933,0.2122417427523885,0.02257344588948529,0,0,0,4,74,1,2,0,0,62,0,0,3,8,91,0,1,3,5,23
2971,F2R,0.19702809522030446,0.28771220807309184,0.19702809522030446,0.03547790573908016,0,2,0,4,61,1,0,0,0,93,0,1,3,8,39,0,1,3,2,9
2972,F2RL1,0.1537692985916996,0.21898466123628874,0.1537692985916996,0.02746455013563831,0,2,0,8,84,1,0,0,5,52,0,1,3,0,5,0,1,3,2,91
2973,F2RL2,0.08745884437743685,0.14140699607399293,0.08745884437743685,0.0030035342304697288,0,2,2,1,43,1,0,3,2,0,0,1,1,6,37,0,1,3,5,43
2974,F3,0.5543209206395445,0.9028647626954999,0.5543209206395445,0.3635841422022279,1,1,1,2,65,0,1,4,6,3,1,2,0,7,28,1,0,2,6,30
