ANKRD22	259	318	198	68	142	185
ANKRD23	3341	1398	5677	177	132	1293
ANKRD26	202	411	489	124	233	405
ANKRD27	360	414	777	360	531	1202
ANKRD28	490	656	1680	329	398	528
ANKRD32	112	136	211	80	114	117
ANKRD35	434	293	298	222	486	90
ANKRD39	35	48	95	94	56	115
ANKRD40	362	357	968	369	335	802
ANKRD44	114	213	405	6	103	157
ANKRD46	294	476	397	407	171	813
ANKRD49	116	96	163	24	72	245
ANKRD5	85	126	96	56	111	92
ANKRD50	573	611	1621	527	655	3801
ANKRD52	1448	916	3791	1515	1790	3239
ANKRD56	92	49	99	28	287	41
ANKRD57	1586	1465	1090	1325	1596	1903
ANKRD6	130	290	255	18	92	80
ANKRD9	70	53	219	111	174	200
ANKS1A	679	495	1449	732	933	1342
ANKS3	99	132	337	91	177	191
ANKS6	294	242	563	165	383	376
ANKZF1	284.5	438.5	611.5	512	441	567
ANLN	443	432	854	519	896	1311
ANO1	92	256	349	13056	862	841
ANO10	301	187	687	196	134	374
ANO2	65	51	235	25	17	78
ANO6	904	621	2846	414	1141	2059
ANO8	286	209	500	232	246	337
ANO9	146	162	262	106	463	205
ANP32B	422	550	660	421	1040	685
ANP32E	683.667	678	1153.67	2611.67	1319	1620
ANTXR1	433.667	615.333	1766	294	406	1109
ANTXR2	198	189	1198	73	152	857
ANUBL1	85	137.5	143	14.5	65	171.5
ANXA1	34397	46239	26307	2605	9950	9141
ANXA11	1274	943.667	4978.67	419	1127.33	1300
ANXA2	317	532.667	811.333	142.333	787.333	1040
ANXA2P2	607	1095	1432	222	1383	1744
ANXA3	168	218	177	39	531	1028
ANXA4	238	383	621	342	626	809
ANXA5	517	653	3028	1064	713	2483
ANXA6	616	604	3783	229	178	612
ANXA7	721	855	1406	360	729	1522.5
ANXA8L2	59	150	67	65	162	189
ANXA9	124	90	70	14	12	5
AOC3	161	186	1075	20	33	73
AOF1	191	254	534	262	514	463
AOF2	426	481	965	511	863	1688
AOX1	252	117	2019	1	45	56
AP1B1	1709	1312	2792	1749	2489	1778
AP1G1	1193	1524	2920	1783	2105	3177
AP1G2	462	657	914	479	1005	751
AP1GBP1	590	672	1347.5	315	1817	1094
AP1M1	93	159	437	61	175	223
AP1M2	148	219	217	190	341	432
AP1S1	353	238	541	478	803	1161
AP1S2	131	153	455	11	54	122
AP1S3	127	106	140	161	211	120
AP2A1	648	547	1851	680	883	1147
AP2A2	456	517	2091	279	611	960
AP2B1	900	487	2020	633.5	2241.5	2371
AP2M1	1156	1084	2911	1934	2956	3674
AP2S1	135.5	196.5	372	266	208.5	294
AP3B1	708	917	1559	465	812	826
AP3D1	862	800	2092	791	925.5	954
AP3M1	403.5	446	1049.5	264.5	688.5	1060
AP3M2	101	104	370.5	106	133	412
AP3S2	413	523.5	1240.5	346.5	947.5	1062.5
AP4B1	136	194	380	128	152	187
AP4E1	290	359	765	521	458	853
AP4M1	112	149	282	173	213	377
APAF1	242	289.2	971.4	113.4	271.8	575.8
APBA3	112	140	333	109	171	139
APBB1	100	98.5	522	50	31	64.5
APBB3	165.25	187.75	619.25	148	178.75	207.25
APC	766	942.667	1470	424.667	484.333	845.333
APCDD1	515	662	458	482	194	1180
APEH	813	535	1756	744	964	741
APEX1	590.333	624.333	1518	612.333	1373.33	1462.33
APEX2	296	191	530	311	764	629
APH1A	611.5	610	1422	733	1069	1568
API5	342	346	645	255	352	875
APLF	137	245	209	33	34	199
